object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
29924,165_30,0.141819953918457,0.021096,0.085111,0.063901,0.612403,0.731481,0.526667,0.441341,0.9034464882350518,0.861889660358429,0.71888667345047,0.179827407002449,0.9299071547037432,
29924,285_30,0.1129932403564453,0.011559,0.074996,0.032521,0.763359,0.917431,0.653595,0.617284,0.9301231991963328,0.8950338363647461,0.7379023432731628,0.1482879966497421,0.94870546739484,
29924,255_30,0.1126794815063476,0.032197,0.188253,0.113931,0.59322,0.598291,0.588235,0.421687,0.8766047333130694,0.7789940237998962,0.5814777612686157,0.2232853472232818,0.8486607467132333,
29924,195_30,0.150949478149414,0.016096,0.083355,0.051496,0.677824,0.75,0.618321,0.512658,0.9215879455804714,0.8873279094696045,0.726313054561615,0.1667331755161285,0.9405606568310166,
29924,-45_30,0.1594991683959961,0.009952,0.048574,0.02761,0.923858,0.978495,0.875,0.858491,0.9419336288312596,0.9260392785072328,0.7915582656860352,0.1357426196336746,0.9675188096977312,
29924,45_30,0.1861953735351562,0.02176,0.100375,0.070817,0.583691,0.623853,0.548387,0.412121,0.9042649173835416,0.8669240474700928,0.7211501598358154,0.170695424079895,0.9300938619524968,
29924,105_30,0.1550140380859375,0.020444,0.09052,0.064784,0.658333,0.745283,0.589552,0.490683,0.8916762114459411,0.8385553956031799,0.6748655438423157,0.1975165456533432,0.9024911321291104,
29924,-15_30,0.150125503540039,0.015299,0.076428,0.05179,0.672489,0.712963,0.636364,0.506579,0.9198728420850012,0.8901737332344055,0.7397372126579285,0.1613964736461639,0.9375012934475878,
29924,15_30,0.1415271759033203,0.021845,0.089773,0.06657,0.601504,0.733945,0.509554,0.430108,0.8930490870993253,0.8409399390220642,0.7040533423423767,0.1826309710741043,0.9145137710955056,
29924,225_30,0.1602029800415039,0.010659,0.048542,0.032202,0.917526,0.967391,0.872549,0.847619,0.9385256456697229,0.9107547402381896,0.7622238397598267,0.1452537924051284,0.9564467496185216,
29924,135_30,0.1859159469604492,0.019125,0.09507,0.063654,0.616034,0.669725,0.570312,0.445122,0.9135559973390625,0.8787878155708313,0.7499979138374329,0.1659078896045684,0.9342430464849482,
29924,75_30,0.1544380187988281,0.013477,0.049071,0.034936,0.819672,0.925926,0.735294,0.694444,0.9018331459553088,0.861640989780426,0.7183257341384888,0.1775216907262802,0.9282931450590332,
30812,165_30,0.0029525756835937,0.027037,0.187264,0.054967,0.766877,0.808349,0.729452,0.621898,0.8517532173668161,0.802668035030365,0.7640425562858582,0.1867663413286209,0.7912336166029302,
30812,135_30,0.0,0.026487,0.19807,0.056129,0.761394,0.814532,0.714765,0.614719,0.7941153394657894,0.7337363362312317,0.75838702917099,0.1963527351617813,0.7733629511804311,
30812,195_30,0.0174694061279296,0.026534,0.109072,0.066561,0.752059,0.790385,0.717277,0.602639,0.8549392070205768,0.7989086508750916,0.762397289276123,0.1901515275239944,0.8210637615357231,
30812,15_30,0.1378631591796875,0.009309,0.045896,0.026219,0.922473,0.951417,0.895238,0.856102,0.8797677044827148,0.8530208468437195,0.8016085624694824,0.1628361344337463,0.9501455970184356,
30812,-45_30,0.1657123565673828,0.008402,0.07095,0.024544,0.92878,0.959677,0.899811,0.867031,0.9027867948561524,0.8758280873298645,0.8458607792854309,0.1520093977451324,0.9329825701176108,
30812,225_30,0.0204277038574218,0.025365,0.092145,0.048248,0.771739,0.827184,0.72326,0.628319,0.8340055734008515,0.7635307312011719,0.7828580737113953,0.2037277072668075,0.8069648403712367,
30812,-15_30,0.1272306442260742,0.012586,0.084044,0.051099,0.881657,0.910387,0.854685,0.78836,0.8686344344181526,0.8216915726661682,0.7992847561836243,0.1707270741462707,0.9127149145018048,
30812,285_30,0.1203174591064453,0.010096,0.115303,0.038815,0.913127,0.965306,0.8663,0.840142,0.9031374568269034,0.8763321042060852,0.8435798287391663,0.1552868038415908,0.8852010594659265,
30812,45_30,0.1279497146606445,0.007331,0.035688,0.015118,0.952286,0.969636,0.935547,0.908918,0.8912360265361868,0.9083024859428406,0.8731958270072937,0.1335237771272659,0.9748330533383576,
30812,255_30,0.079376220703125,0.007289,0.116622,0.013451,0.954774,0.987526,0.924125,0.913462,0.9456368221438284,0.9419768452644348,0.911097526550293,0.1101048290729522,0.9453560607265457,
30812,105_30,0.0531768798828125,0.006971,0.070729,0.013291,0.952859,0.97137,0.935039,0.909962,0.8984527074619046,0.9228975176811218,0.8950819373130798,0.108407475054264,0.9713836490196016,
30812,75_30,0.0905628204345703,0.007866,0.04061,0.017182,0.935707,0.959432,0.913127,0.879182,0.8678242691891923,0.8948251605033875,0.8693712949752808,0.1320895105600357,0.9623424016702772,
30905,255_30,0.0503730773925781,0.02189,0.182015,0.058016,0.723192,0.900621,0.604167,0.566406,0.9087670769072624,0.8949381709098816,0.7918985486030579,0.1677312403917312,0.9312184230751528,
30905,-45_30,0.0634222030639648,0.028555,0.169928,0.077501,0.690141,0.844828,0.583333,0.526882,0.9004422032308712,0.8795016407966614,0.7661299705505371,0.1865708827972412,0.9288264627064916,
30905,195_30,0.0962123870849609,0.007221,0.044837,0.018485,0.905556,0.953216,0.862434,0.827411,0.935970122058838,0.9193633198738098,0.8086318373680115,0.1528399586677551,0.9619027358376144,
30905,285_30,0.0404748916625976,0.019791,0.139593,0.056186,0.733485,0.94152,0.600746,0.579137,0.9141568426151508,0.8956549763679504,0.7754021286964417,0.1630038917064666,0.942742105820794,
30905,-15_30,0.0833072662353515,0.025402,0.17825,0.069489,0.656522,0.893491,0.5189,0.488673,0.9021655314920638,0.8609116077423096,0.7506546974182129,0.1873061209917068,0.9147734753413276,
30905,165_30,0.0985221862792968,0.008984,0.051715,0.030966,0.867403,0.918129,0.82199,0.765854,0.9377501416035308,0.919474184513092,0.8007707595825195,0.1549354940652847,0.9663986060903073,
30905,45_30,0.041966438293457,0.017569,0.145981,0.04267,0.760925,0.919255,0.649123,0.614108,0.8795506448228769,0.88625168800354,0.7902961373329163,0.1739380210638046,0.9181998324213712,
30905,105_30,0.0201387405395507,0.020253,0.168888,0.049031,0.707547,0.925926,0.572519,0.547445,0.8815079276248089,0.9058405756950378,0.8355868458747864,0.136579617857933,0.9609461999819706,
30905,15_30,0.0967426300048828,0.016444,0.148144,0.033894,0.786458,0.937888,0.67713,0.648069,0.9224924532833598,0.9048361778259276,0.800836443901062,0.1727575361728668,0.9412377570809676,
30905,75_30,0.0205631256103515,0.022156,0.182032,0.068288,0.71831,0.905325,0.595331,0.56044,0.8664606146351655,0.8918478488922119,0.8270342946052551,0.1495240032672882,0.9382557989825866,
30905,225_30,0.0778875350952148,0.006932,0.047938,0.022224,0.918605,0.929412,0.908046,0.849462,0.9266249259999028,0.9153916239738464,0.8126322627067566,0.1578320860862732,0.9607233722225998,
30905,135_30,0.0412960052490234,0.024779,0.158052,0.060475,0.671533,0.907895,0.532819,0.505495,0.8695489247214224,0.8798397183418274,0.7835392355918884,0.1760002374649047,0.9168593943573854,
36284,75_30,0.0350151062011718,0.032467,0.179711,0.110558,0.530612,0.742857,0.412698,0.361111,0.9536755297021192,0.919264018535614,0.7467449307441711,0.1549373567104339,0.954630264568884,
36284,285_30,0.0088415145874023,0.029671,0.166109,0.098432,0.579439,0.756098,0.469697,0.407895,0.938683703046141,0.9005711674690247,0.718854546546936,0.1786850541830063,0.9389437953136271,
36284,15_30,0.0396251678466796,0.028026,0.175215,0.101452,0.585859,0.763158,0.47541,0.414286,0.8677442788153019,0.8061416745185852,0.6290607452392578,0.2270694524049759,0.8592078626519221,
36284,225_30,0.0179643630981445,0.027469,0.173092,0.090511,0.613861,0.815789,0.492063,0.442857,0.887049436711484,0.8313519954681396,0.6508069634437561,0.2187967896461486,0.8860766344266632,
36284,195_30,0.0239801406860351,0.028169,0.174809,0.099071,0.585859,0.783784,0.467742,0.414286,0.8616797726749107,0.8023397922515869,0.6262050867080688,0.2349870204925537,0.8558433224610237,
36284,255_30,0.0089626312255859,0.030283,0.176308,0.095188,0.571429,0.631579,0.521739,0.4,0.9405215463831588,0.9076220393180848,0.7300806641578674,0.1716319471597671,0.9432205447995238,
36284,-15_30,0.0247402191162109,0.026524,0.172256,0.092201,0.612245,0.789474,0.5,0.441176,0.8711316421576165,0.810810387134552,0.6314634680747986,0.2280582785606384,0.8637634424950205,
36284,105_30,0.0354022979736328,0.022368,0.163671,0.092676,0.75,0.789474,0.714286,0.6,0.9534857757162556,0.9177547097206116,0.7268329858779907,0.1596518903970718,0.9525168822369284,
36284,165_30,0.0385322570800781,0.027098,0.175193,0.098784,0.659091,0.763158,0.58,0.491525,0.8696310258432601,0.8089699745178223,0.6253769397735596,0.2284640818834304,0.8631706184655568,
36284,45_30,0.0546875,0.032086,0.178211,0.110384,0.558559,0.738095,0.449275,0.3875,0.8922985884964622,0.8352012038230896,0.6605145335197449,0.2112832814455032,0.8888935708465109,
36284,135_30,0.0533523559570312,0.030117,0.178506,0.103639,0.54,0.75,0.421875,0.369863,0.8889311088038673,0.8299351334571838,0.6484331488609314,0.2178472280502319,0.8850589306445118,
36284,-45_30,0.0181179046630859,0.026043,0.171456,0.087868,0.606061,0.789474,0.491803,0.434783,0.9017288078887584,0.8483135104179382,0.6509819626808167,0.2096734642982483,0.8998559926349401,
