object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
134855,-45_30,0.1172561645507812,0.013344,0.087735,0.031145,0.944966,0.9437,0.946237,0.895674,0.8427031836722345,0.8088584542274475,0.7220464944839478,0.1976434141397476,0.9414588267460834,
134855,-15_30,0.0419158935546875,0.012341,0.086819,0.028972,0.95302,0.972603,0.934211,0.910256,0.8398020966645228,0.8078716397285461,0.7296191453933716,0.2025240361690521,0.93454206093104,
134855,195_30,0.0419158935546875,0.013441,0.079937,0.034461,0.962963,0.978495,0.947917,0.928571,0.8576630380947687,0.8202433586120605,0.7389470338821411,0.1958975046873092,0.9398140783763178,
134855,45_30,0.0058765411376953,0.015453,0.098138,0.0395,0.932785,0.947075,0.918919,0.874036,0.8635910657015761,0.8113875985145569,0.7316909432411194,0.1877262145280838,0.9368642783246076,
134855,15_30,0.015751838684082,0.012956,0.075428,0.031,0.956044,0.972067,0.940541,0.915789,0.8596505003276952,0.8267447352409363,0.7397851943969727,0.189807578921318,0.941142451773256,
134855,225_30,0.1172561645507812,0.013456,0.094022,0.034178,0.94723,0.949735,0.944737,0.899749,0.8409087358540622,0.7819024920463562,0.701323926448822,0.2066596001386642,0.9254883979967028,
134855,255_30,0.1085472106933593,0.039816,0.224721,0.096231,0.894289,0.946015,0.847926,0.808791,0.7766506012295199,0.7115980982780457,0.6424331665039062,0.2362338453531265,0.8585543085426041,
134855,285_30,0.1087474822998046,0.014741,0.093752,0.036297,0.907035,0.973046,0.849412,0.829885,0.8266149221957119,0.7926632761955261,0.6912856698036194,0.2168053686618805,0.9137737374035604,
134855,165_30,0.0156412124633789,0.014013,0.07928,0.032879,0.944218,0.985795,0.906005,0.89433,0.862586460571476,0.8317365646362305,0.739762544631958,0.1947783976793289,0.9442516168852736,
134855,105_30,0.0018310546875,0.019057,0.120247,0.047043,0.913939,0.971649,0.8627,0.841518,0.846420621382581,0.7852528095245361,0.7225140333175659,0.2003694772720337,0.9077173034045414,
134855,75_30,0.0018310546875,0.042835,0.188264,0.121499,0.880899,0.994924,0.790323,0.787149,0.7957840248474822,0.6991106867790222,0.6792032122612,0.2227835655212402,0.8433973639280079,
134855,135_30,0.0058765411376953,0.013038,0.071607,0.029361,0.95212,0.980282,0.925532,0.908616,0.8673294655899082,0.8050651550292969,0.7237409353256226,0.1899343878030777,0.9368867651417608,
137239,-15_30,0.0894308090209961,0.082964,0.304015,0.19331,0.59824,0.812749,0.473318,0.426778,0.7719327272895141,0.7060044407844543,0.6810173392295837,0.2398485541343689,0.6884795525980955,
137239,165_30,0.0439357757568359,0.069554,0.365014,0.212436,0.738899,0.83871,0.660317,0.585915,0.8790547154266922,0.8207054734230042,0.6893292665481567,0.1957638561725616,0.8803061231625627,
137239,105_30,0.04351806640625,0.107926,0.517675,0.280569,0.551181,0.744681,0.4375,0.380435,0.7176144775549765,0.6596600413322449,0.667069673538208,0.2579362094402313,0.7320869741823584,
137239,225_30,0.0492210388183593,0.097905,0.545753,0.373956,0.777958,0.979592,0.645161,0.636605,0.8613854166367768,0.8104895949363708,0.678909420967102,0.219680443406105,0.8707162703479205,
137239,285_30,0.1022930145263671,0.069945,0.281467,0.17442,0.684211,0.78629,0.60559,0.52,0.8166251062577405,0.7254572510719299,0.6275300979614258,0.2366557121276855,0.8230209453585845,
137239,195_30,0.0472240447998046,0.096036,0.536212,0.424589,0.856597,0.929461,0.794326,0.749164,0.9072637247691332,0.868690550327301,0.7034046053886414,0.1790264844894409,0.9295996845861608,
137239,255_30,0.0655460357666015,0.066077,0.259888,0.160983,0.726297,0.812,0.656958,0.570225,0.9096386095695904,0.8613254427909851,0.7184099555015564,0.1731765419244766,0.91278958180576,
137239,-45_30,0.1380615234375,0.058016,0.197003,0.134711,0.613518,0.705179,0.542945,0.4425,0.8252718580387103,0.741126537322998,0.6706150770187378,0.2256491929292678,0.8026531533061739,
137239,45_30,0.0453300476074218,0.13463,0.551832,0.295069,0.443316,0.517787,0.387574,0.284783,0.8550609745236635,0.8102321624755859,0.7003982067108154,0.2038086950778961,0.8814885732420678,
137239,75_30,0.0383586883544921,0.050293,0.225306,0.14299,0.842912,0.920502,0.777385,0.728477,0.8749710567043435,0.8328329920768738,0.7222157120704651,0.1861748546361923,0.8889819679933565,
137239,135_30,0.0483417510986328,0.121427,0.556445,0.293413,0.469333,0.709677,0.350598,0.30662,0.6735316006679064,0.6253535747528076,0.6633180975914001,0.2703948318958282,0.6803097301963734,
137239,15_30,0.0473909378051757,0.067389,0.258301,0.149285,0.603077,0.774704,0.493703,0.431718,0.7889675332909776,0.7398924231529236,0.6819913387298584,0.2303433418273925,0.7454656727023794,
